title,document_url,company_url,page_number
Britam Holdings Limited (BRIT.ke) HY2025 Presentation,https://africanfinancials.com/document/ke-brit-2025-pr-hy/,https://africanfinancials.com/company/ke-brit/,4
Kenya Re-Insurance Corporation Limited (KNRE.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-knre-2025-ir-hy/,https://africanfinancials.com/company/ke-knre/,4
HF Group Limited (HFCK.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-hfck-2025-ir-hy/,https://africanfinancials.com/company/ke-hfck/,4
British American Tobacco Kenya Limited (BAT.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-bat-2025-ir-hy/,https://africanfinancials.com/company/ke-bat/,4
Express Limited (XPRS.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-xprs-2025-ir-hy/,https://africanfinancials.com/company/ke-xprs/,4
Kakuzi Limited (KUKZ.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-kukz-2025-ir-hy/,https://africanfinancials.com/company/ke-kukz/,4
Standard Group Limited (SGL.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-sgl-2025-ir-hy/,https://africanfinancials.com/company/ke-sgl/,4
BK Group Plc (BKG.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-bkg-2025-ir-hy/,https://africanfinancials.com/company/ke-bkg/,4
Bamburi Cement Limited (BAMB.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-bamb-2025-ir-hy/,https://africanfinancials.com/company/ke-bamb/,4
Nairobi Business Venture Limited (NBV.ke) 2025 Abridged Report,https://africanfinancials.com/document/ke-nbv-2025-ab-00/,https://africanfinancials.com/company/ke-nbv/,4
Limuru Tea PLC (LIMT.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-limt-2025-ir-hy/,https://africanfinancials.com/company/ke-limt/,5
Home Afrika Limited (HAFR.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-hafr-2025-ir-hy/,https://africanfinancials.com/company/ke-hafr/,5
East Africa Cables Plc(CABL.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-cabl-2025-ir-hy/,https://africanfinancials.com/company/ke-cabl/,5
Crown Paints Kenya (CRWN.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-crwn-2025-ir-hy/,https://africanfinancials.com/company/ke-crwn/,5
Shri Krishna Overseas PLC HY2025 Interim Report,https://africanfinancials.com/document/ke-skl-2025-ir-hy/,https://africanfinancials.com/company/ke-skl/,5
HF Group Limited (HFCK.ke) Q12025 Interim Report,https://africanfinancials.com/document/ke-hfck-2025-ir-q1/,https://africanfinancials.com/company/ke-hfck/,5
TPS Eastern Africa (Serena) Limited (TPSE.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-tpse-2025-ir-hy/,https://africanfinancials.com/company/ke-tpse/,5
Liberty Kenya Holdings Limited (LBTY.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-lbty-2025-ir-hy/,https://africanfinancials.com/company/ke-lbty/,5
Diamond Trust Bank of Kenya Limited (DTK.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-dtk-2025-ir-hy/,https://africanfinancials.com/company/ke-dtk/,5
The Co-operative Bank of Kenya Limited (COOP.ke) HY2025 Presentation,https://africanfinancials.com/document/ke-coop-2025-pr-hy/,https://africanfinancials.com/company/ke-coop/,5
I&M Group Plc (IMH.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-imh-2025-ir-hy/,https://africanfinancials.com/company/ke-imh/,5
Absa Bank Kenya Plc (ABSA.ke) HY2025 Presentation,https://africanfinancials.com/document/ke-absa-2025-pr-hy/,https://africanfinancials.com/company/ke-absa/,5
The Co-operative Bank of Kenya Limited (COOP.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-coop-2025-ir-hy/,https://africanfinancials.com/company/ke-coop/,6
Absa Bank Kenya Plc (ABSA.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-absa-2025-ir-hy/,https://africanfinancials.com/company/ke-absa/,6
ScanGroup Limited (SCAN.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-scan-2025-ir-hy/,https://africanfinancials.com/company/ke-scan/,6
NCBA Group PLC (NCBA.ke) Q12025 Interim Report,https://africanfinancials.com/document/ke-ncba-2025-ir-q1/,https://africanfinancials.com/company/ke-ncba/,6
KCB Group Plc (KCB.ke) HY2025 Interim Report,https://africanfinancials.com/document/ke-kcb-2025-ir-hy/,https://africanfinancials.com/company/ke-kcb/,6
Equity Bank Limited (EQTY.ke) HY2025 Presentation,https://africanfinancials.com/document/ke-eqty-2025-pr-hy/,https://africanfinancials.com/company/ke-eqty/,6
