title,document_url,company_url,page_number
TotalEnergies Marketing Kenya Plc (TOTL.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-totl-2023-ar-00/,https://africanfinancials.com/document/ke-totl-2023-ar-00/,27
Crown Paints Kenya (CRWN.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-crwn-2023-ar-00/,https://africanfinancials.com/company/ke-crwn/,27
Eveready East Africa Limited (EVRD.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-evrd-2023-ar-00/,https://africanfinancials.com/company/ke-evrd/,27
Sameer Africa Limited (SAMEER.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-sameer-2023-ar-00/,https://africanfinancials.com/company/ke-sameer/,27
I&M Group Plc (IMH.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-imh-2023-ar-00/,https://africanfinancials.com/company/ke-imh/,28
ScanGroup Limited (SCAN.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-scan-2023-ar-00/,https://africanfinancials.com/company/ke-scan/,28
CIC Insurance Group (CIC.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-cic-2023-ar-00/,https://africanfinancials.com/company/ke-cic/,28
BK Group Plc (BKG.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-bkg-2023-ar-00/,https://africanfinancials.com/company/ke-bkg/,28
Absa Bank Kenya Plc (ABSA.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-absa-2023-ar-00/,https://africanfinancials.com/company/ke-absa/,28
Nairobi Securities Exchange Limited (NSE.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-nse-2023-ar-00/,https://africanfinancials.com/company/ke-nse/,28
Stanbic Holdings Plc (SBIC.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-sbic-2023-ar-00/,https://africanfinancials.com/company/ke-sbic/,28
NCBA Group PLC (NCBA.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-ncba-2023-ar-00/,https://africanfinancials.com/company/ke-ncba/,29
Limuru Tea PLC (LIMT.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-limt-2023-ar-00/,https://africanfinancials.com/company/ke-limt/,29
HF Group Limited (HFCK.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-hfck-2023-ar-00/,https://africanfinancials.com/company/ke-hfck/,29
Diamond Trust Bank of Kenya Limited (DTK.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-dtk-2023-ar-00/,https://africanfinancials.com/company/ke-dtk/,29
The Co-operative Bank of Kenya Limited (COOP.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-coop-2023-ar-00/,https://africanfinancials.com/company/ke-coop/,29
Equity Bank Limited (EQTY.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-eqty-2023-ar-00/,https://africanfinancials.com/company/ke-eqty/,29
